HCUPnet - Hospital Inpatient State Statistics,,,,,
,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Combined anterior/posterior spinal fusion w mcc, Combined anterior/posterior spinal fusion w cc, Combined anterior/posterior spinal fusion w/o cc/mcc | Outcome and Measures: Number, Age (mean) | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,
,,,,,
"2014  Arizona, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #453      Combined anterior/posterior spinal fusion w mcc, #454      Combined anterior/posterior spinal fusion w cc, #455 Combined anterior/posterior spinal fusion w/o cc/mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
All discharges,,886,100,57.3916478555,
Age group,1-17,*,*,*,
,18-44,157,17.7200902935,36.8343949045,
,45-64,407,45.9367945824,55.3194103194,
,65-84,320,36.1173814898,70.403125,
Sex,Male,402,45.3724604966,56.4850746269,
,Female,484,54.6275395034,58.1446280992,
,,,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,
,,,,,
"2014  Arkansas, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #453      Combined anterior/posterior spinal fusion w mcc, #454      Combined anterior/posterior spinal fusion w cc, #455 Combined anterior/posterior spinal fusion w/o cc/mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
