HCUPnet - Hospital Inpatient State Statistics,,,,,
,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Back & neck proc exc spinal fusion w mcc or disc device/neurostim, Back & neck proc exc spinal fusion w cc, Back & neck proc exc spinal fusion w/o cc/mcc | Outcome and Measures: Number, Age (mean) | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,
,,,,,
"2014  Arizona, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #518 Back & neck proc exc spinal fusion w mcc or disc device/neurostim, #519 Back & neck proc exc spinal fusion w cc, #520 Back & neck proc exc spinal fusion w/o cc/mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
All discharges,,656,100,59.9679878049,
Age group,1-17,*,*,*,
,18-44,127,19.3597560976,34.4409448819,
,45-64,204,31.0975609756,55.1764705882,
,65-84,303,46.1890243902,73.1056105611,
,85+,17,2.5914634146,87.7058823529,
Sex,Male,377,57.4695121951,61.0344827586,
,Female,279,42.5304878049,58.5268817204,
,,,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,
,,,,,
"2014  Arkansas, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #518 Back & neck proc exc spinal fusion w mcc or disc device/neurostim, #519 Back & neck proc exc spinal fusion w cc, #520 Back & neck proc exc spinal fusion w/o cc/mcc",,,,,
,,,,,
,,Number,,Age (mean),
