HCUPnet - Hospital Inpatient State Statistics,,,,,
,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Bilateral or multiple major joint procs of lower extremity w mcc, Bilateral or multiple major joint procs of lower extremity w/o mcc | Outcome and Measures: Number, Age (mean) | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,
,,,,,
"2014  Arizona, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #461      Bilateral or multiple major joint procs of lower extremity w mcc, #462 Bilateral or multiple major joint procs of lower extremity w/o mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
All discharges,,446,100,63.6457399103,
Age group,18-44,14,3.1390134529,40.6428571429,
,45-64,214,47.9820627803,58.1308411215,
,65-84,216,48.4304932735,70.3981481481,
,85+,*,*,*,
Sex,Male,216,48.4304932735,63.4259259259,
,Female,230,51.5695067265,63.852173913,
,,,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,
,,,,,
"2014  Arkansas, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #461      Bilateral or multiple major joint procs of lower extremity w mcc, #462 Bilateral or multiple major joint procs of lower extremity w/o mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
