HCUPnet - Hospital Inpatient State Statistics,,,
,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Back & neck proc exc spinal fusion w mcc or disc device/neurostim, Back & neck proc exc spinal fusion w cc, Back & neck proc exc spinal fusion w/o cc/mcc | Outcome and Measures: Hospital costs | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,
,,,
"2014  Arizona, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #518 Back & neck proc exc spinal fusion w mcc or disc device/neurostim, #519 Back & neck proc exc spinal fusion w cc, #520 Back & neck proc exc spinal fusion w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,12253.5789292018,
Age group,1-17,*,
,18-44,12480.7156039585,
,45-64,11706.2350418606,
,65-84,12230.2670270046,
,85+,13894.9725518484,
Sex,Male,12640.4948559424,
,Female,11731.6599632748,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  Arkansas, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #518 Back & neck proc exc spinal fusion w mcc or disc device/neurostim, #519 Back & neck proc exc spinal fusion w cc, #520 Back & neck proc exc spinal fusion w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,8381.4796772026,
Age group,1-17,*,
,18-44,7402.8369924146,
,45-64,7976.3070125189,
,65-84,9310.8867866889,
,85+,*,
Sex,Male,8477.6732144263,
,Female,8281.656195178,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arkansas Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  California, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #518 Back & neck proc exc spinal fusion w mcc or disc device/neurostim, #519 Back & neck proc exc spinal fusion w cc, #520 Back & neck proc exc spinal fusion w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,17846.1522129558,
Age group,<1,*,
,1-17,24721.1826542795,
,18-44,16729.2143343062,
,45-64,17098.1193898619,
,65-84,18731.3014463081,
,85+,22663.5589366266,
Sex,Male,18137.6266693402,
,Female,17415.1537086389,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the California Office of Statewide Health Planning and Development and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
