HCUPnet - Hospital Inpatient State Statistics,,,
,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Bilateral or multiple major joint procs of lower extremity w mcc, Bilateral or multiple major joint procs of lower extremity w/o mcc | Outcome and Measures: Hospital costs | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,
,,,
"2014  Arizona, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #461      Bilateral or multiple major joint procs of lower extremity w mcc, #462 Bilateral or multiple major joint procs of lower extremity w/o mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,22086.3638128259,
Age group,18-44,21012.2906162773,
,45-64,22219.523127214,
,65-84,22074.5110233587,
,85+,*,
Sex,Male,22140.8654359229,
,Female,22035.1796798304,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  Arkansas, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #461      Bilateral or multiple major joint procs of lower extremity w mcc, #462 Bilateral or multiple major joint procs of lower extremity w/o mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,14241.1466412993,
Age group,18-44,*,
,45-64,14124.0960101613,
,65-84,13585.375466606,
,85+,*,
Sex,Male,13850.1086089632,
,Female,14514.1354563263,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arkansas Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  California, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #461      Bilateral or multiple major joint procs of lower extremity w mcc, #462 Bilateral or multiple major joint procs of lower extremity w/o mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,35651.3944855137,
Age group,1-17,*,
,18-44,40481.8343689777,
,45-64,34339.9252692849,
,65-84,35856.6134097617,
,85+,52366.8131960512,
Sex,Male,35601.7683630238,
,Female,35694.3895312915,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the California Office of Statewide Health Planning and Development and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  Colorado, All Codes Combined",,,
