HCUPnet - Hospital Inpatient State Statistics,,,
,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Knee procedures w pdx of infection w mcc, Knee procedures w pdx of infection w cc, Knee procedures w pdx of infection w/o cc/mcc, Knee procedures w/o pdx of infection w cc/mcc, Knee procedures w/o pdx of infection w/o cc/mcc | Outcome and Measures: Hospital costs | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,
,,,
"2014  Arizona, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #485      Knee procedures w pdx of infection w mcc, #486      Knee procedures w pdx of infection w cc, #487      Knee procedures w pdx of infection w/o cc/mcc, #488      Knee procedures w/o pdx of infection w cc/mcc, #489 Knee procedures w/o pdx of infection w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,13560.6289572983,
Age group,1-17,12767.7605738078,
,18-44,14651.9787284235,
,45-64,13633.5288319977,
,65-84,13195.8026796607,
,85+,12336.0212800565,
Sex,Male,13854.3586902838,
,Female,13264.328285731,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  Arkansas, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #485      Knee procedures w pdx of infection w mcc, #486      Knee procedures w pdx of infection w cc, #487      Knee procedures w pdx of infection w/o cc/mcc, #488      Knee procedures w/o pdx of infection w cc/mcc, #489 Knee procedures w/o pdx of infection w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,9571.5191332896,
Age group,<1,*,
,1-17,*,
,18-44,9120.4965057853,
,45-64,9211.2087448513,
,65-84,10033.549609039,
,85+,14229.4876087177,
Sex,Male,10020.0612054909,
,Female,9155.3717663029,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arkansas Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  California, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #485      Knee procedures w pdx of infection w mcc, #486      Knee procedures w pdx of infection w cc, #487      Knee procedures w pdx of infection w/o cc/mcc, #488      Knee procedures w/o pdx of infection w cc/mcc, #489 Knee procedures w/o pdx of infection w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,19737.2252816961,
Age group,<1,*,
,1-17,17783.6915882321,
,18-44,20469.9808241159,
,45-64,19756.1039535235,
,65-84,19444.1787574394,
,85+,21987.1389395336,
Sex,Male,20072.1790145182,
,Female,19334.9858400734,
,Missing,*,
,,,
