HCUPnet - Hospital Inpatient State Statistics,,,
,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Lower extrem & humer proc except hip,foot,femur w mcc, Lower extrem & humer proc except hip,foot,femur w cc, Lower extrem & humer proc except hip,foot,femur w/o cc/mcc | Outcome and Measures: Hospital costs | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,
,,,
"2014  Arizona, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #492      Lower extrem & humer proc except hip,foot,femur w mcc, #493      Lower extrem & humer proc except hip,foot,femur w cc, #494 Lower extrem & humer proc except hip,foot,femur w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,15159.2521538341,
Age group,<1,*,
,1-17,10618.1406047713,
,18-44,15289.4895397121,
,45-64,16243.5372134401,
,65-84,15339.9220880235,
,85+,14438.5762044514,
Sex,Male,15891.1464900445,
,Female,14586.2133186363,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  Arkansas, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #492      Lower extrem & humer proc except hip,foot,femur w mcc, #493      Lower extrem & humer proc except hip,foot,femur w cc, #494 Lower extrem & humer proc except hip,foot,femur w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,10519.2064851502,
Age group,<1,*,
,1-17,8190.8610219121,
,18-44,10881.4265725275,
,45-64,11021.6487801335,
,65-84,10176.3240755324,
,85+,9844.5454790344,
Sex,Male,11585.6195664681,
,Female,9813.4349186054,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arkansas Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  California, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #492      Lower extrem & humer proc except hip,foot,femur w mcc, #493      Lower extrem & humer proc except hip,foot,femur w cc, #494 Lower extrem & humer proc except hip,foot,femur w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,18958.7589019246,
Age group,<1,*,
,1-17,10454.0280873199,
,18-44,20453.7033825733,
,45-64,21740.4199716124,
,65-84,20760.4778333653,
,85+,20682.8123994929,
,Missing,*,
Sex,Male,19674.1365305071,
,Female,18204.1546005532,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the California Office of Statewide Health Planning and Development and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
