HCUPnet - Hospital Inpatient State Statistics,,,
,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Shoulder,elbow or forearm proc,exc major joint proc w mcc, Shoulder,elbow or forearm proc,exc major joint proc w cc, Shoulder,elbow or forearm proc,exc major joint proc w/o cc/mcc | Outcome and Measures: Hospital costs | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,
,,,
"2014  Arizona, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #510      Shoulder,elbow or forearm proc,exc major joint proc w mcc, #511      Shoulder,elbow or forearm proc,exc major joint proc w cc, #512 Shoulder,elbow or forearm proc,exc major joint proc w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,12683.2974698981,
Age group,1-17,8102.2046800279,
,18-44,13506.2617820457,
,45-64,13667.0373792008,
,65-84,12360.8141113812,
,85+,13453.5547449291,
Sex,Male,12898.1661938465,
,Female,12533.4917988088,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  Arkansas, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #510      Shoulder,elbow or forearm proc,exc major joint proc w mcc, #511      Shoulder,elbow or forearm proc,exc major joint proc w cc, #512 Shoulder,elbow or forearm proc,exc major joint proc w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,9010.8889714133,
Age group,1-17,5121.1129534954,
,18-44,10794.3577743852,
,45-64,10241.8873323632,
,65-84,8135.3566662676,
,85+,7178.0662872497,
Sex,Male,10104.2569017232,
,Female,8377.6016058378,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arkansas Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  California, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #510      Shoulder,elbow or forearm proc,exc major joint proc w mcc, #511      Shoulder,elbow or forearm proc,exc major joint proc w cc, #512 Shoulder,elbow or forearm proc,exc major joint proc w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,15255.3088003242,
Age group,1-17,10481.7772971157,
,18-44,15964.0561726264,
,45-64,17274.3716434502,
,65-84,15795.1821244543,
,85+,16416.0718055442,
Sex,Male,15565.2344282544,
,Female,14892.7793740258,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the California Office of Statewide Health Planning and Development and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
