HCUPnet - Hospital Inpatient State Statistics,,,
,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w mcc, Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w cc, Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w/o cc/mcc | Outcome and Measures: Hospital costs | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,
,,,
"2014  Arizona, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #456      Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w mcc, #457      Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w cc, #458 Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,52864.6551899468,
Age group,1-17,59773.1751240844,
,18-44,51761.8137156597,
,45-64,52832.7412942554,
,65-84,47648.5523102643,
,85+,*,
Sex,Male,51824.8166540976,
,Female,53453.0909505436,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  Arkansas, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #456      Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w mcc, #457      Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w cc, #458 Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,46124.0981224185,
Age group,1-17,49906.6034775429,
,18-44,47529.0658549272,
,45-64,45522.8715399798,
,65-84,40514.5970870336,
,85+,*,
Sex,Male,49695.9303863324,
,Female,44210.6165524646,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arkansas Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  California, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #456      Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w mcc, #457      Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w cc, #458 Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,71559.8482974187,
Age group,1-17,67574.060425505,
,18-44,74959.9218499039,
,45-64,76243.5392133646,
,65-84,71862.4745186946,
,85+,60807.3985694911,
,Missing,*,
Sex,Male,75254.5510455798,
,Female,69326.3702017066,
,,,
