HCUPnet - Hospital Inpatient State Statistics,,,
,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Major joint & limb reattachment proc of upper extremity w cc/mcc, Major joint & limb reattachment proc of upper extremity w/o cc/mcc | Outcome and Measures: Hospital costs | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,
,,,
"2014  Arizona, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #483      Major joint & limb reattachment proc of upper extremity w cc/mcc, #484 Major joint & limb reattachment proc of upper extremity w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,15111.1066866012,
Age group,1-17,*,
,18-44,16633.8201701497,
,45-64,15049.1240141989,
,65-84,15039.1353701083,
,85+,15188.2735555076,
Sex,Male,14501.7989488084,
,Female,15622.7104523426,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  Arkansas, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #483      Major joint & limb reattachment proc of upper extremity w cc/mcc, #484 Major joint & limb reattachment proc of upper extremity w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,12119.943661254,
Age group,18-44,10343.01620019,
,45-64,12015.796578522,
,65-84,12178.6082536294,
,85+,12948.1249214931,
Sex,Male,11795.2904778944,
,Female,12399.0205323344,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arkansas Department of Health and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  California, All Codes Combined",,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #483      Major joint & limb reattachment proc of upper extremity w cc/mcc, #484 Major joint & limb reattachment proc of upper extremity w/o cc/mcc",,,
,,,
,,Hospital costs,
,,"Costs, $ (mean)",
All discharges,,22519.827475618,
Age group,1-17,*,
,18-44,21729.0621409197,
,45-64,22186.1366809983,
,65-84,22410.2842287315,
,85+,25235.6732302707,
Sex,Male,22139.9741838736,
,Female,22816.0040688736,
,Missing,*,
,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the California Office of Statewide Health Planning and Development and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,
,,,
"2014  Colorado, All Codes Combined",,,
