HCUPnet - Hospital Inpatient State Statistics,,,,,
,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Knee procedures w pdx of infection w mcc, Knee procedures w pdx of infection w cc, Knee procedures w pdx of infection w/o cc/mcc, Knee procedures w/o pdx of infection w cc/mcc, Knee procedures w/o pdx of infection w/o cc/mcc | Outcome and Measures: Number, Age (mean) | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,
,,,,,
"2014  Arizona, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #485      Knee procedures w pdx of infection w mcc, #486      Knee procedures w pdx of infection w cc, #487      Knee procedures w pdx of infection w/o cc/mcc, #488      Knee procedures w/o pdx of infection w cc/mcc, #489 Knee procedures w/o pdx of infection w/o cc/mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
All discharges,,918,100,58.6328976035,
Age group,1-17,26,2.8322440087,11.2307692308,
,18-44,143,15.5773420479,33.8251748252,
,45-64,360,39.2156862745,55.6111111111,
,65-84,366,39.8692810458,72.7595628415,
,85+,23,2.5054466231,88.9565217391,
Sex,Male,461,50.2178649237,57.0932754881,
,Female,457,49.7821350763,60.1859956236,
,,,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,
,,,,,
"2014  Arkansas, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #485      Knee procedures w pdx of infection w mcc, #486      Knee procedures w pdx of infection w cc, #487      Knee procedures w pdx of infection w/o cc/mcc, #488      Knee procedures w/o pdx of infection w cc/mcc, #489 Knee procedures w/o pdx of infection w/o cc/mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
