HCUPnet - Hospital Inpatient State Statistics,,,,,
,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Lower extrem & humer proc except hip,foot,femur w mcc, Lower extrem & humer proc except hip,foot,femur w cc, Lower extrem & humer proc except hip,foot,femur w/o cc/mcc | Outcome and Measures: Number, Age (mean) | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,
,,,,,
"2014  Arizona, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #492      Lower extrem & humer proc except hip,foot,femur w mcc, #493      Lower extrem & humer proc except hip,foot,femur w cc, #494 Lower extrem & humer proc except hip,foot,femur w/o cc/mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
All discharges,,3828,100,50.8014629049,
Age group,<1,*,*,*,
,1-17,346,9.0386624869,10.3005780347,
,18-44,1060,27.6907001045,31.8660377358,
,45-64,1245,32.5235109718,55.1959839357,
,65-84,1013,26.4629049112,73.064165844,
,85+,162,4.2319749216,88.8456790123,
Sex,Male,1681,43.9132706374,43.0630577037,
,Female,2147,56.0867293626,56.8602701444,
,,,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,
,,,,,
"2014  Arkansas, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #492      Lower extrem & humer proc except hip,foot,femur w mcc, #493      Lower extrem & humer proc except hip,foot,femur w cc, #494 Lower extrem & humer proc except hip,foot,femur w/o cc/mcc",,,,,
,,,,,
