HCUPnet - Hospital Inpatient State Statistics,,,,,
,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Major shoulder or elbow joint procedures w cc/mcc, Major shoulder or elbow joint procedures w/o cc/mcc | Outcome and Measures: Number, Age (mean) | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,
,,,,,
"2014  Arizona, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #507      Major shoulder or elbow joint procedures w cc/mcc, #508 Major shoulder or elbow joint procedures w/o cc/mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
All discharges,,73,100,54.8493150685,
Age group,1-17,*,*,*,
,18-44,20,27.397260274,33.85,
,45-64,27,36.9863013699,56.0740740741,
,65-84,19,26.0273972603,71.6315789474,
,85+,*,*,*,
Sex,Male,44,60.2739726027,51.8636363636,
,Female,29,39.7260273973,59.3793103448,
,,,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,
,,,,,
"2014  Arkansas, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #507      Major shoulder or elbow joint procedures w cc/mcc, #508 Major shoulder or elbow joint procedures w/o cc/mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
