HCUPnet - Hospital Inpatient State Statistics,,,,,
,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Other musculoskelet sys & conn tiss O.R. proc w mcc, Other musculoskelet sys & conn tiss O.R. proc w cc, Other musculoskelet sys & conn tiss O.R. proc w/o cc/mcc | Outcome and Measures: Number, Age (mean) | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,
,,,,,
"2014  Arizona, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #515      Other musculoskelet sys & conn tiss O.R. proc w mcc, #516      Other musculoskelet sys & conn tiss O.R. proc w cc, #517 Other musculoskelet sys & conn tiss O.R. proc w/o cc/mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
All discharges,,927,100,51.1251348436,
Age group,<1,54,5.8252427184,0,
,1-17,68,7.3354908306,8.2647058824,
,18-44,203,21.8985976268,30.2906403941,
,45-64,234,25.2427184466,55.2435897436,
,65-84,312,33.6569579288,73.0608974359,
,85+,56,6.0409924488,88.5714285714,
Sex,Male,503,54.2610571737,47.0258449304,
,Female,424,45.7389428263,55.9882075472,
,,,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,
,,,,,
"2014  Arkansas, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #515      Other musculoskelet sys & conn tiss O.R. proc w mcc, #516      Other musculoskelet sys & conn tiss O.R. proc w cc, #517 Other musculoskelet sys & conn tiss O.R. proc w/o cc/mcc",,,,,
,,,,,
