HCUPnet - Hospital Inpatient State Statistics,,,,,
,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Shoulder,elbow or forearm proc,exc major joint proc w mcc, Shoulder,elbow or forearm proc,exc major joint proc w/o cc/mcc, Shoulder,elbow or forearm proc,exc major joint proc w cc | Outcome and Measures: Number, Age (mean) | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,
,,,,,
"2014  Arizona, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #510      Shoulder,elbow or forearm proc,exc major joint proc w mcc, #511      Shoulder,elbow or forearm proc,exc major joint proc w cc, #512 Shoulder,elbow or forearm proc,exc major joint proc w/o cc/mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
All discharges,,908,100,52.7081497797,
Age group,1-17,92,10.1321585903,11.4673913043,
,18-44,223,24.5594713656,31.0224215247,
,45-64,270,29.7356828194,55.6,
,65-84,253,27.8634361233,73.6798418972,
,85+,70,7.7092511013,89.0428571429,
Sex,Male,373,41.0792951542,39.1474530831,
,Female,535,58.9207048458,62.1626168224,
,,,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,
,,,,,
"2014  Arkansas, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #510      Shoulder,elbow or forearm proc,exc major joint proc w mcc, #511      Shoulder,elbow or forearm proc,exc major joint proc w cc, #512 Shoulder,elbow or forearm proc,exc major joint proc w/o cc/mcc",,,,,
,,,,,
,,Number,,Age (mean),
