HCUPnet - Hospital Inpatient State Statistics,,,,,
,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Spinal fusion except cervical w mcc, Spinal fusion except cervical w/o mcc | Outcome and Measures: Number, Age (mean) | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,
,,,,,
"2014  Arizona, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #459      Spinal fusion except cervical w mcc, #460 Spinal fusion except cervical w/o mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
All discharges,,4991,100,61.7144860749,
Age group,1-17,15,0.3005409738,15,
,18-44,607,12.1618914045,36.15815486,
,45-64,1889,37.8481266279,56.0577024881,
,65-84,2423,48.5473852935,72.2232769294,
,85+,57,1.1420557003,86.9122807018,
Sex,Male,2280,45.6822280104,61.3960526316,
,Female,2710,54.2977359247,61.9837638376,
,Missing,*,*,*,
,,,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,
,,,,,
"2014  Arkansas, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #459      Spinal fusion except cervical w mcc, #460 Spinal fusion except cervical w/o mcc",,,,,
,,,,,
,,Number,,Age (mean),
,,Total number of discharges: N,Percent of discharges,Age (mean),
