HCUPnet - Hospital Inpatient State Statistics,,,,,
,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Subgroups of Interest: All Codes Combined, Children only (age 0-17) | Years: 2014 | Categorization Type: Medicare-Severity Diagnosis Related Groups (MS-DRG) | Medicare-Severity Diagnosis Related Groups (MS-DRG): Coronary bypass w cardiac cath w/o mcc, Coronary bypass w/o cardiac cath w/o mcc | Outcome and Measures: Number, Hospital costs | Patient Characteristics: Age groups, Sex | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,
,,,,,
"2014  Arizona, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #234      Coronary bypass w cardiac cath w/o mcc, #236 Coronary bypass w/o cardiac cath w/o mcc",,,,,
,,,,,
,,Number,,Hospital costs,
,,Total number of discharges: N,Percent of discharges,"Costs, $ (mean)",
All discharges,,1688,100,34627.1949374851,
Age group,18-44,31,1.836492891,38285.6003891275,
,45-64,613,36.3151658768,34216.7235809431,
,65-84,1003,59.4194312796,34731.6178924666,
,85+,41,2.4289099526,35443.5888085294,
Sex,Male,1325,78.4952606635,34502.0050850635,
,Female,363,21.5047393365,35084.1551426053,
,,,,,
"State statistics from HCUP State Inpatient Databases 2014, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,
,,,,,
"2014  Arkansas, All Codes Combined",,,,,
"Medicare-Severity Diagnosis Related Groups (MS-DRG): #234      Coronary bypass w cardiac cath w/o mcc, #236 Coronary bypass w/o cardiac cath w/o mcc",,,,,
,,,,,
,,Number,,Hospital costs,
,,Total number of discharges: N,Percent of discharges,"Costs, $ (mean)",
All discharges,,1856,100,25217.6250232416,
Age group,18-44,64,3.4482758621,24016.7257124423,
,45-64,855,46.0668103448,24476.1599442931,
,65-84,917,49.4073275862,25937.1503087552,
,85+,20,1.0775862069,27767.9006020475,
Sex,Male,1383,74.5150862069,24911.9364487533,
,Female,473,25.4849137931,26111.4248086905,
,,,,,
