state,state_abbrev,patient_discharge_categories,antpostfusion_453-455,backneck_518-520,bariatric_619-621,bilateral_major_lower_extremity_461-462,hand_wrist_513-514,hip_femur_not_joint_480-482,hip_knee_replace_469-470,hip_knee_revise_466-468,upper_joint_limb_reattach_483-484,knee_other_485-489,lower_extremity_humer_492-494,other_musc_515-517,shoulder_elbow_forearm_510-512,major_joint_shoulder_elbow_507-508,spinal_fusion_curve_malig_infect_456-458,spinal_fusion_except_cervical_459-460,spinal_neuro_28-30,coronary_bypass_234-236,cervical_spinal_fusion_471-473
Arizona,AZ,18-44,38393.42276,12480.7156,11953.99617,21012.29062,7843.713043,19550.09781,15032.87355,18304.54831,16633.82017,14651.97873,15289.48954,20617.41153,13506.26178,12682.98742,51761.81372,26204.56654,25874.44842,38285.60039,18246.4571
Arizona,AZ,45-64,45945.03352,11706.23504,12543.16597,22219.52313,9622.472223,16504.98632,13950.79367,21280.04078,15049.12401,13633.52883,16243.53721,18401.81729,13667.03738,12856.55354,52832.74129,27603.111,28565.4214,34216.72358,19066.42975
Arizona,AZ,Male,44230.70504,12640.49486,13216.40462,22140.86544,8573.510763,16643.93035,14179.43146,21811.24444,14501.79895,13854.35869,15891.14649,19941.97574,12898.16619,12866.80205,51824.81665,28235.97215,32982.77658,34502.00509,20536.61252
Arizona,AZ,Female,45206.15757,11731.65996,12137.12024,22035.17968,8323.097972,15266.53304,14018.84582,20760.11167,15622.71045,13264.32829,14586.21332,18629.43675,12533.4918,14403.50398,53453.09095,26816.97745,30332.28812,35084.15514,18884.31724
Arkansas,AR,18-44,45574.1479,7402.836992,7761.695339,14241.14664,6766.202198,14832.71376,11855.47033,17992.74337,10343.0162,9120.496506,10881.42657,14659.19158,10794.35777,10677.77568,47529.06585,20532.8204,17186.32337,24016.72571,10194.58049
Arkansas,AR,45-64,41308.80167,7976.307013,8240.137299,14124.09601,6910.61143,11264.16106,11131.79555,16507.40306,12015.79658,9211.208745,11021.64878,15017.33732,10241.88733,10677.77568,45522.87154,19544.86571,17920.20696,24476.15994,11860.895
Arkansas,AR,Male,40534.63737,8477.673214,8323.26582,13850.10861,6564.259527,11634.36842,11293.72872,17539.2778,11795.29048,10020.06121,11585.61957,17464.59033,10104.2569,11876.43204,49695.93039,20471.71997,24340.93704,24911.93645,12771.61726
Arkansas,AR,Female,47521.2272,8281.656195,8067.845522,14514.13546,6581.443319,10634.60594,11151.19145,17841.31503,12399.02053,9155.371766,9813.434919,12808.49675,8377.601606,9479.11933,44210.61655,19681.92625,16892.70576,26111.42481,11298.28766
California,CA,18-44,56797.51485,16729.21433,14820.67587,40481.83437,10847.25979,26062.76199,22956.60607,30750.0185,21729.06214,20469.98082,20453.70338,25240.45343,15964.05617,15708.75211,74959.92185,37264.22203,37099.52688,52876.47753,23869.84639
California,CA,45-64,64599.74249,17098.11939,16160.65715,34339.92527,12291.79766,23652.50775,20978.55087,30710.43622,22186.13668,19756.10395,21740.41997,27779.61195,17274.37164,14771.3553,76243.53921,37928.38067,38906.73581,53279.73761,25202.34166
California,CA,Male,66873.90628,18137.62667,17171.92339,35601.76836,11466.40889,23241.40927,21312.5892,32379.85883,22139.97418,20072.17901,19674.13653,26814.67138,15565.23443,16214.96667,75254.55105,39017.07801,43242.73132,52610.77294,27626.18433
California,CA,Female,67162.31428,17415.15371,15270.38582,35694.38953,11896.1905,21348.77566,21120.06552,30716.66585,22816.00407,19334.98584,18204.1546,23704.75107,14892.77937,15485.29408,69326.3702,37259.57893,36282.13086,54164.98618,25408.32506
Colorado,CO,18-44,47924.72889,13621.37472,13541.50917,36353.27738,11982.47391,19672.49589,17249.49496,20660.24896,19420.53764,20745.8089,19251.54292,18943.16291,16510.85779,16083.018,62424.55291,31704.75108,23146.45295,40586.51548,19118.01814
Colorado,CO,45-64,55077.21046,14031.11467,14065.38492,30164.06366,8903.024177,18683.39017,17381.29,24065.12982,18902.96773,17811.104,18549.03896,19430.15957,16490.14054,14955.06086,60854.94299,34083.92758,33334.40728,38115.14222,21040.97568
Colorado,CO,Male,56760.48962,13866.05407,15055.89281,30356.06809,10381.46394,18668.62017,17774.34879,25259.84911,18456.74478,17909.98837,18900.90016,19486.15306,16542.74878,16514.42193,61247.01647,35205.85347,29315.24764,38554.85063,22206.07819
Colorado,CO,Female,55710.97056,14385.73668,13539.71263,29305.09057,9814.688437,17468.36941,17461.42525,24403.92319,19263.98373,17352.14709,17241.14593,18550.39253,14302.51757,15423.22377,58612.40906,33651.57105,25966.41176,39624.85195,20522.13543
Florida,FL,18-44,44970.17388,12049.15025,12211.02117,22947.98833,7833.849027,18747.34561,15423.69993,19259.60171,15715.28791,15436.88977,14770.15707,18843.26546,11900.07366,12903.92573,53031.12463,24626.10635,21702.58867,33721.04203,14771.15025
