state,state_abbrev,patient_discharge_categories,total_pop_priv_insured,his_private_insurance_discharges,percent_discharges_priv_of_ins_pop,percent_discharges_private,state_pop_numbers,total_number_discharges,percent_discharges,discharges_antpostfusion_453-455,discharges_backneck_518-520,discharges_bariatric_619-621,discharges_bilateral_major_lower_extremity_461-462,discharges_hand_wrist_513-514,discharges_hip_femur_not_joint_480-482,discharges_hip_knee_replace_469-470,discharges_hip_knee_revise_466-468,discharges_upper_joint_limb_reattach_483-484,discharges_knee_other_485-489,discharges_lower_extremity_humer_492-494,discharges_other_musc_515-517,discharges_shoulder_elbow_forearm_510-512,discharges_major_joint_shoulder_elbow_507-508,discharges_spinal_fusion_curve_malig_infect_456-458,discharges_spinal_fusion_except_cervical_459-460,discharges_spinal_neuro_28-30,discharges_coronary_bypass_234-236,discharges_cervical_spinal_fusion_471-473
Arizona,AZ,18-44,3168700,193861,6.118,27.35,2406158,184726,26.05841228,157,127,1146,14,232,324,503,64,29,143,1060,203,223,20,60,607,255,31,531
Arizona,AZ,45-64,3168700,193861,6.118,27.35,1633417,164324,23.18039984,407,204,1125,214,140,845,8903,855,505,360,1245,234,270,27,182,1889,291,613,2003
Arizona,AZ,Male,3168700,193861,6.118,27.35,1989801,306996,43.30645571,402,377,651,216,353,1902,10469,1065,953,461,1681,503,373,44,219,2280,483,1325,1874
Arizona,AZ,Female,3168700,193861,6.118,27.35,2049774,401776,56.67661647,484,279,1961,230,137,3597,15157,1286,1135,457,2147,424,535,29,387,2710,462,363,1861
Arkansas,AR,18-44,1408200,96307,6.839,26.48,1037736,87308,24.00563105,23,50,517,0,58,161,326,59,22,62,454,71,61,0,23,479,115,64,530
Arkansas,AR,45-64,1408200,96307,6.839,26.48,755423,89856,24.7062123,67,95,573,84,38,429,4374,439,280,139,643,143,94,0,52,1085,117,855,1259
Arkansas,AR,Male,1408200,96307,6.839,26.48,869800,150871,41.48249372,62,110,261,74,90,945,4252,421,447,167,728,265,117,14,90,1060,187,1383,1109
Arkansas,AR,Female,1408200,96307,6.839,26.48,923359,212805,58.51145731,63,106,941,106,38,1764,6875,634,520,180,1100,436,202,14,168,1245,167,473,1112
California,CA,18-44,20482500,1088767,5.316,29.93,14893157,988068,27.15878965,572,747,7941,48,1005,1764,1677,239,136,809,5052,999,1073,98,252,2194,918,178,1758
California,CA,45-64,20482500,1088767,5.316,29.93,9763144,835965,22.97797073,2313,1602,6890,868,624,3433,33479,2956,1689,1339,5726,1146,1075,174,629,6853,1224,3013,7245
California,CA,Male,20482500,1088767,5.316,29.93,12137524,1545247,42.47383604,2191,2335,3501,880,1534,8485,37433,3353,2694,2041,9535,2531,2077,261,1046,7558,1853,5604,6456
California,CA,Female,20482500,1088767,5.316,29.93,12518777,2092381,57.51277791,2612,1563,12180,1020,511,15328,56624,4515,3470,1668,9322,2504,1835,149,1721,8600,1817,1550,6284
Colorado,CO,18-44,2887300,175760,6.087,38.21,2044878,125218,27.22319814,137,90,941,13,60,358,573,90,43,177,893,164,108,0,60,846,199,18,448
Colorado,CO,45-64,2887300,175760,6.087,38.21,1384601,106549,23.16443753,495,158,862,361,63,695,8199,840,547,358,1115,270,110,17,156,2150,204,339,1500
Colorado,CO,Male,2887300,175760,6.087,38.21,1712997,195232,42.4446918,504,260,443,318,103,1494,8297,834,934,424,1405,474,195,26,226,2427,334,645,1388
Colorado,CO,Female,2887300,175760,6.087,38.21,1716482,264705,57.5485686,563,211,1556,395,57,2481,11775,1101,1034,446,1680,478,219,17,395,2747,306,160,1445
Florida,FL,18-44,9295000,596975,6.423,22.58,6737336,590219,22.32757685,154,387,3650,26,728,1045,1178,194,81,417,3234,557,645,60,169,1791,487,159,1852
Florida,FL,45-64,9295000,596975,6.423,22.58,5310833,664659,25.1435906,772,831,3763,586,464,2547,21128,2171,1412,829,4365,854,972,110,341,5708,878,2752,6394
Florida,FL,Male,9295000,596975,6.423,22.58,5820571,1173185,44.38077772,838,1294,2098,649,1130,6386,27392,2690,2547,1312,5798,1873,1291,149,647,7024,1200,5359,5665
Florida,FL,Female,9295000,596975,6.423,22.58,6227598,1470248,55.6184657,954,991,6311,779,408,12928,41309,3599,3574,1124,7667,2497,1987,120,1271,7975,1149,1533,6237
Hawaii,HI,18-44,768800,40049,5.209,33.91,524975,30321,25.66965797,0,0,266,0,26,54,55,0,0,17,158,23,37,0,0,42,19,0,26
Hawaii,HI,45-64,768800,40049,5.209,33.91,357988,26740,22.63799526,12,0,263,37,22,142,1020,81,37,40,188,23,35,0,17,141,20,159,96
Hawaii,HI,Male,768800,40049,5.209,33.91,445009,53253,45.08381307,16,31,156,40,49,311,1193,87,51,65,252,56,71,0,20,181,35,287,133
Hawaii,HI,Female,768800,40049,5.209,33.91,437954,64865,54.91449374,15,20,415,52,16,655,1726,107,50,31,285,68,46,0,33,151,34,85,82
Illinois,IL,18-44,7351700,487325,6.629,33.58,4712911,352152,24.26673062,94,235,1965,16,161,521,994,99,60,201,1310,240,144,28,89,1251,377,93,1028
Illinois,IL,45-64,7351700,487325,6.629,33.58,3390662,364341,25.1066724,288,499,1841,587,120,1294,17907,1404,753,521,1971,422,212,40,278,3468,575,1574,3105
Illinois,IL,Male,7351700,487325,6.629,33.58,3930005,618517,42.62189458,277,689,884,472,259,3046,17338,1471,1084,696,2439,801,315,73,359,3550,732,2668,2707
Illinois,IL,Female,7351700,487325,6.629,33.58,4173568,832606,57.37472884,284,519,3150,579,102,6242,26968,2053,1643,672,3245,1124,485,45,641,4236,759,824,2730
Indiana,IN,18-44,3637800,223511,6.144,29.44,2339991,180603,23.79059879,73,59,938,34,82,306,683,73,28,110,828,157,100,0,48,866,211,87,350
Indiana,IN,45-64,3637800,223511,6.144,29.44,1733493,188241,24.79674261,229,137,958,794,59,893,10688,862,513,290,1340,272,141,30,117,2579,239,1077,1263
Indiana,IN,Male,3637800,223511,6.144,29.44,1982302,318103,41.90329533,193,214,463,643,137,1901,10209,865,715,363,1558,508,187,24,167,2562,360,1866,1247
Indiana,IN,Female,3637800,223511,6.144,29.44,2091182,440180,57.98434009,266,203,1604,796,66,3842,16099,1193,1198,395,2022,654,291,32,322,3257,371,606,1229
Iowa,IA,18-44,1881000,105582,5.613,33.64,1075950,67523,21.51277264,33,30,552,0,39,118,265,25,0,54,392,55,35,0,15,280,90,27,197
Iowa,IA,45-64,1881000,105582,5.613,33.64,813873,68224,21.73611067,124,91,447,214,33,402,6247,316,322,149,660,98,64,0,58,803,94,399,606
Iowa,IA,Male,1881000,105582,5.613,33.64,930002,131244,41.81423119,87,149,209,166,72,876,5944,369,476,217,726,185,75,14,77,842,154,693,597
Iowa,IA,Female,1881000,105582,5.613,33.64,959821,182607,58.17844103,136,101,851,195,27,1850,9324,531,670,177,1052,213,155,16,186,1058,145,229,496
Kansas,KS,18-44,1662700,107154,6.445,34.94,1034695,74575,24.31822554,48,57,337,0,24,142,204,33,0,46,370,59,53,0,19,223,77,16,206
Kansas,KS,45-64,1662700,107154,6.445,34.94,731201,68289,22.26841843,100,117,404,233,25,315,3915,393,174,117,539,111,72,0,53,634,108,355,510
Kansas,KS,Male,1662700,107154,6.445,34.94,871832,126533,41.26125421,100,193,158,263,41,763,3859,379,255,127,611,239,99,0,69,647,141,603,486
Kansas,KS,Female,1662700,107154,6.445,34.94,894064,180097,58.72798479,143,129,666,312,23,1522,5932,523,421,149,861,416,140,0,133,889,135,164,455
Kentucky,KY,18-44,2237400,150438,6.724,26.76,1557274,132272,23.53284443,73,75,1048,25,79,272,551,69,43,98,705,103,93,0,35,524,127,106,446
Kentucky,KY,45-64,2237400,150438,6.724,26.76,1189055,154707,27.52431175,209,138,918,291,52,668,7705,728,541,248,1132,226,128,21,94,1476,173,1111,1128
Kentucky,KY,Male,2237400,150438,6.724,26.76,1336334,236436,42.06492384,198,200,439,208,109,1345,6651,662,692,307,1184,360,177,31,113,1372,301,1569,1044
Kentucky,KY,Female,2237400,150438,6.724,26.76,1409995,325605,57.92920505,232,159,1658,256,52,2711,10962,891,944,245,1683,461,271,14,242,1759,328,556,1041
