,proc_id,cpt_1,cpt_2,cpt_3,cpt_4,cpt_5,cpt_6,cpt_7,total_cost - mean,patient_cost - mean,Episode Count,carrum_price_1,carrum_price_2,carrum_price_3,carrum_price_4,carrum_price_5,carrum_price_6,carrum_price_7,highest_cost,id,7th-largest,6th-largest,5th-largest,4th-largest,3nd-largest,2nd-largest,largest,final_cost,estimated_paid_amounts
0,0,20680,25295,64721,25290,-999,-999,-999,11728.45,2255.13,1,7025,6900,6900,6900,,,,7025,0,6900,6900,6900,7025,,,,13925,9473.32
1,1,20680,26525,-999,-999,-999,-999,-999,15247.85,2118.2,1,7025,8075,,,,,,8075,1,7025,8075,,,,,,11587.5,13129.65
2,2,20680,27570,-999,-999,-999,-999,-999,2240.22,2170.19,1,7025,4355,,,,,,7025,2,4355,7025,,,,,,9202.5,70.03
3,3,20680,-999,-999,-999,-999,-999,-999,5852.0262,213.4156579,152,7025,,,,,,,7025,3,7025,,,,,,,7025,5638.610542
4,4,20930,20936,22595,22600,22614,63047,63048,220535.19,2774.12,1,,,,,,14300,16560,16560,4,14300,16560,,,,,,23710,217761.07
5,5,20930,20936,22551,-999,-999,-999,-999,25827.50375,1048.318776,1,,,26400,,,,,26400,5,26400,,,,,,,26400,24779.18497
6,6,22551,22552,22554,-999,-999,-999,-999,25827.50375,815.3590476,1,26400,32400,,,,,,32400,6,26400,32400,,,,,,45600,25012.1447
7,7,22551,22552,20936,-999,-999,-999,-999,25827.50375,815.3590476,1,26400,32400,,,,,,32400,7,26400,32400,,,,,,45600,25012.1447
8,8,22551,22552,20937,-999,-999,-999,-999,25827.50375,815.3590476,1,26400,32400,,,,,,32400,8,26400,32400,,,,,,45600,25012.1447
9,9,22551,22552,20930,20936,-999,-999,-999,25827.50375,815.3590476,4,26400,32400,,,,,,32400,9,26400,32400,,,,,,45600,25012.1447
10,10,22551,22552,20930,-999,-999,-999,-999,25827.50375,815.3590476,2,26400,32400,,,,,,32400,10,26400,32400,,,,,,45600,25012.1447
